Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
College of Design and Eng,Built Environment,BPS5111,Integrated Building Design,L1,65,1,0,0,0,0,0,1
College of Design and Eng,Built Environment,BPS5221,Microclimate Design,L1,65,5,4,0,0,0,0,1
College of Design and Eng,Built Environment,BPS5223,Building Energy Performance - Passive Systems,L1,65,3,2,0,0,0,0,1
College of Design and Eng,Built Environment,BPS5224,Building Energy Performance - Active Systems,L1,65,3,2,0,0,0,0,1
College of Design and Eng,Built Environment,PM5103,CONTRACT MANAGEMENT,L1,100,10,10,0,0,0,0,0
College of Design and Eng,Built Environment,PM5106,DESIGN MANAGEMENT,L1,92,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PM5112,RESEARCH METHODS,L1,92,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PM5113,Managing Projects using BIM,L1,30,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PM5114,Managing Complex Projects,L1,92,15,15,0,0,0,0,0
College of Design and Eng,Built Environment,PM5118,Case Studies in Infrastructure Planning,L1,100,11,11,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5010,Mathematical & Computing Methods for Chemical Engineers,L1,78,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5030,ADVANCED CHEMICAL ENGINEERING THERMODYNAMICS,L1,78,5,4,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5150,Principles of Polymer Science and Engineering,L1,80,8,4,0,0,0,0,4
College of Design and Eng,Chemical & Biomolecular Eng,CN5160,Advanced Topics in Catalysis,L1,50,9,8,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5173,DOWNSTREAM PROCESSING OF BIOCHEMICAL & PHARMACEUTICAL PRODUCTS,L1,40,5,4,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5190,Hydrogen Energy and Technology,L1,40,31,30,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5191,Project Engineering,L1,40,4,3,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5192,Future Fuel Options: Prospects and Technologies,L1,60,13,13,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5204,Green Chemical Process and Technology,L1,50,20,19,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5216,Electronic Materials and Energy Technologies,L1,40,9,9,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5246,Catalysis Science and Engineering,L1,30,2,1,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5251,Membrane Science & Technology,L1,40,4,3,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5432,Fundamentals and Applications of Porous Materials,L1,60,1,0,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN6251,MEMBRANE SCIENCE & TECHNOLOGY,L1,20,3,3,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5002,Fundamentals in Industrial Safety,L1,64,8,8,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5004,Fundamentals in Industrial Hygiene,L1,65,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5103,Biosafety and Biosecurity,L1,65,27,27,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5104,OCCUPATIONAL HEALTH,L1,63,32,32,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5107,Industrial Ventilation,L1,63,15,15,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5110,Chemical Hazard Evaluation,L1,53,11,11,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5203,Resilience and Emergency Planning,L1,63,18,18,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5204,Industrial Safety Engineering,L1,40,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5206,Human Factors in Process Safety,L1,58,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5207,Process Safety Engineering,L1,48,8,8,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5208,Functional Safety for Process Industries,L1,65,7,7,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5402,Safety Leadership and Management Practices,L1,64,26,26,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5405,Fire and Explosion Safety,L1,62,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5406,Research Methodology,L1,60,22,22,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5409,Sustainability and Environmental Analysis,L1,65,27,27,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,CEG5101,Modern Computer Networking,L01,2147483647,32,32,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,CEG5104,Cellular Networks,L01,2147483647,38,29,0,9,0,0,0
College of Design and Eng,Electrical & Computer Eng,CEG5201,"Hardware Technologies, Principles, & Platforms",L01,2147483647,23,23,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,CEG5205,AI Sensors and Virtual/Augmented Reality Technologies,L01,2147483647,38,25,0,13,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5025,Intellectual Property: Innovations in IoT,L01,25,7,7,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5026,Machine Learning for Data Analytics,L01,25,4,4,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5060,Sensors and Instrumentation for Automation,L01,13,8,8,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5061,Industrial Control and Programming,L01,13,5,5,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5062,Autonomous Systems,L01,15,1,1,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5101,LINEAR SYSTEMS,L01,2147483647,40,40,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5103,Computer Control Systems,L01,2147483647,27,24,1,0,3,0,0
College of Design and Eng,Electrical & Computer Eng,EE5110,Special Topics in Automation and Control,L01,2147483647,27,11,0,14,0,0,2
College of Design and Eng,Electrical & Computer Eng,EE5111,Selected Topics in Industrial Control & Instrumentation,L01,2147483647,53,11,0,42,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5139,Information Theory and its Applications,L01,2147483647,15,15,1,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5303,MICROWAVE ELECTRONICS,L01,2147483647,31,31,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5308,ANTENNA ENGINEERING,L01,2147483647,48,28,0,20,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5439,Micro/Nano Electromechanical Systems,L01,2147483647,16,16,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5502,MOS DEVICES,L01,2147483647,22,22,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5508,SEMICONDUCTOR FUNDAMENTALS,L01,2147483647,12,12,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5518,VLSI DIGITAL CIRCUIT DESIGN,L01,2147483647,17,17,2,0,0,0,0
