Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful_Main,Successful_Reserve,Quota_Exceeded,Timetable_Clashes,Workload_Exceeded,Others
College of Design and Eng,Architecture,AC5001,Architectural History of Singapore,L1,29,24,20,0,0,1,0,3
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,27,16,16,0,0,0,0,0
College of Design and Eng,Architecture,AC5007,Dissertation,L1,30,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AC5009,Design for Adaptive Reuse,L1,29,6,6,0,0,0,0,0
College of Design and Eng,Architecture,AC5011,Conservation of C20th Buildings,L1,29,21,21,0,0,0,0,0
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,45,32,32,0,0,0,0,0
College of Design and Eng,Architecture,AR5323,Well & Green Built Environment,L1,25,1,0,0,0,0,0,1
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,45,33,33,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,45,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5801,Options Design Research Studio 1,D1,45,33,33,0,0,0,0,0
College of Design and Eng,Architecture,AR5805,Advanced Architecture Studio,L1,160,91,91,0,0,0,0,0
College of Design and Eng,Architecture,AR5806,Architectural Design Research Report,D1,150,87,87,0,0,0,0,0
College of Design and Eng,Architecture,AR5951A,Topics in History and Theory of Architecture 1,L1,19,10,10,1,0,0,0,0
College of Design and Eng,Architecture,AR5951B,Topics in History & Theory of Architecture 2,L1,19,18,14,0,3,0,0,1
College of Design and Eng,Architecture,AR5951C,Topics in History and Theory of Architecture 3,L1,19,5,4,0,1,0,0,0
College of Design and Eng,Architecture,AR5951D,Topics in History & Theory of Architecture 4,E1,17,9,9,2,0,0,0,0
College of Design and Eng,Architecture,AR5952A,Topics in Urbanism 1,L1,21,20,14,1,0,0,0,6
College of Design and Eng,Architecture,AR5952B,Topics in Urbanism 2,L1,15,58,11,0,46,0,0,1
