Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Collg of Design & Engineering,Biomedical Engineering,BN5102,Clinical Instrumentation,L1,3,2,2,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN5201,Advanced Biomaterials,L1,10,2,1,0,0,0,0,1
Collg of Design & Engineering,Biomedical Engineering,BN5203,ADVANCED TISSUE ENGINEERING,L1,31,1,1,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN5207,MEDICAL IMAGING SYSTEMS,L1,33,1,1,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN6401,Advanced Quantitative Fluorescence Microscopy,L1,9,3,2,0,0,0,0,1
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5020,ADVANCED REACTION ENGINEERING,L1,12,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5040,ADVANCED TRANSPORT PHENOMENA,L1,14,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5050,ADVANCED SEPARATION PROCESSES,L1,20,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5111,OPTIMIZATION OF CHEMICAL PROCESSES,L1,13,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5112,Introduction to Electrochemical Systems,L1,42,12,12,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5161,POLYMER PROCESSING ENGINEERING,L1,12,4,4,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5191,Project Engineering,L1,11,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5193,INSTRUMENTAL METHODS OF ANALYSIS,L1,4,4,4,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5246,Catalysis Science and Engineering,L1,6,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5252,Molecular and computational tools for biotechnology,L1,27,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5432,Fundamentals and Applications of Porous Materials,L1,2,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN6163,Inorganic Nanomaterials for Sustainability,L1,27,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,SH5001,Fundamentals in Process Safety,L1,2,10,2,0,8,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,SH5003,FUNDAMENTALS IN ENVIRONMENTAL PROTECTION,L1,20,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,SH5004,Fundamentals in Industrial Hygiene,L1,9,5,5,1,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,SH5101,INDUSTRIAL TOXICOLOGY,L1,1,3,1,0,2,0,0,0
