Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Coll. of Humanities & Sciences,Communications & New Media,HS2903,Sporting Bodies,L1,95,56,55,6,0,0,1,0
College of Design and Eng,Architecture,AR1101,Design I,D1,150,78,78,0,0,0,0,0
College of Design and Eng,Architecture,AR2101,Design 3,D1,103,87,87,0,0,0,0,0
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,14,15,14,0,1,0,0,0
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,144,132,132,0,0,0,0,0
College of Design and Eng,Architecture,AR2328,Architectural Construction & Tectonics,L1,98,90,90,0,0,0,0,0
College of Design and Eng,Architecture,AR3101,Design 5,D1,142,84,84,0,0,0,0,0
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,132,90,90,0,0,0,0,0
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,80,51,51,0,0,0,0,0
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,70,74,70,0,4,0,0,0
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,80,52,52,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,75,68,68,0,0,0,0,0
College of Design and Eng,Architecture,AR5801,Options Design Research Studio 1,D1,80,41,41,0,0,0,0,0
College of Design and Eng,Architecture,AR5955A,Topics in Research by Design 1,L1,10,2,2,0,0,0,0,0
College of Design and Eng,Architecture,AR5957A,Topics in History and Theory of Architecture 1,E1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,AR5957D,Topics in History and Theory of Architecture 4,E1,3,12,3,0,9,0,0,0
College of Design and Eng,Architecture,AR5957F,Topics in History and Theory of Architecture 6,E1,2,7,2,0,5,0,0,0
College of Design and Eng,Architecture,AR5957G,Topics in History and Theory of Architecture 7,L1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,AR5958A,Topics in Urbanism 1,E1,2,7,2,0,5,0,0,0
College of Design and Eng,Architecture,AR5958D,Topics in Urbanism 4,L1,2,2,2,0,0,0,0,0
College of Design and Eng,Architecture,AR5958F,Topics in Urbanism 6,L1,2,2,1,0,0,1,0,0
College of Design and Eng,Architecture,AR5959A,Topics in Design Technology 1,E1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,AR5959B,Topics in Design Technology 2,E1,3,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5959C,Topics in Design Technology 3,E1,3,6,3,0,3,0,0,0
College of Design and Eng,Architecture,LA4202,Planting Design,L1,30,2,2,0,0,0,0,0
College of Design and Eng,Architecture,LA4701,MLA Studio: Quarter,D2,50,20,20,0,0,0,0,0
College of Design and Eng,Architecture,LAD1001,Design 1,L1,20,12,12,0,0,0,0,0
College of Design and Eng,Architecture,LAD1003,Introduction to Landscape Architecture,L1,35,20,20,0,0,0,0,0
College of Design and Eng,Architecture,LAD1003,Introduction to Landscape Architecture,L2,18,3,3,0,0,0,0,0
College of Design and Eng,Architecture,LAD2001,Design 3,L1,30,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD2004,Planting Design and Horticulture,L1,20,8,8,0,0,0,0,0
College of Design and Eng,Architecture,LAD2005,Introductory GIS for Landscape Architecture,L1,30,3,3,0,0,0,0,0
College of Design and Eng,Architecture,LAD2006,Design 3,L1,30,14,14,0,0,0,0,0
College of Design and Eng,Architecture,LAD3001,Design 5,L1,20,23,20,0,3,0,0,0
College of Design and Eng,Architecture,LAD3006,Basics of Ecology,L1,30,11,11,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN3202,Musculoskeletal Biomechanics,L1,67,30,30,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4103,Assistive Technology for Persons with Disability,L1,47,30,30,3,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4301,Principles Of Tissue Engineering,L1,61,36,36,1,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4302,Organs in a Dish: Organoid Bioengineering,L1,50,74,50,0,24,0,0,0
College of Design and Eng,Biomedical Engineering,BN4403,Cellular Bioengineering,L1,67,9,9,1,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4501,Engineering Biology,L1,66,25,25,4,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4701,Serious Games for Health,L1,38,53,38,0,15,0,0,0
College of Design and Eng,Biomedical Engineering,BN5104,QUANTITATIVE PHYSIOLOGY PRINCIPLES IN BIOENGINEERING,L1,18,30,18,0,12,0,0,0
College of Design and Eng,Biomedical Engineering,BN5208,Biomedical Quality and Regulatory Systems,L1,5,31,5,0,26,0,0,0
College of Design and Eng,Biomedical Engineering,BN5210,BIOSENSORS AND BIOCHIPS,L1,20,6,6,2,0,0,0,0
College of Design and Eng,Built Environment,IPM1102,Infrastructure and Project Management Law,L1,80,32,32,0,0,0,0,0
College of Design and Eng,Built Environment,IPM4201,Smart Facility Management Robotics,L1,60,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PF1101,Fundamentals of Project Management,L1,287,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PF1107,Infrastructure and Project Management Law,L1,50,24,24,0,0,0,0,0
College of Design and Eng,Built Environment,PF2102,Structural Systems,L1,130,8,8,0,0,0,0,0
