Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Coll. of Humanities & Sciences,Communications & New Media,HS2903,Sporting Bodies,L1,39,13,13,4,0,0,0,0
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,1,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR1101,Design I,D1,70,6,6,0,0,0,0,0
College of Design and Eng,Architecture,AR2101,Design 3,D1,16,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,3,5,3,0,2,0,0,0
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,16,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR2328,Architectural Construction & Tectonics,L1,10,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR3101,Design 5,D1,58,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,41,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,30,6,6,0,0,0,0,0
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,3,6,3,0,3,0,0,0
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,28,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,9,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AR5801,Options Design Research Studio 1,D1,42,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR5955A,Topics in Research by Design 1,L1,9,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AR5957B,Topics in History and Theory of Architecture 2,E1,2,1,0,0,0,0,0,1
College of Design and Eng,Architecture,AR5957E,Topics in History and Theory of Architecture 5,E1,1,3,1,0,2,0,0,0
College of Design and Eng,Architecture,AR5958F,Topics in Urbanism 6,L1,1,4,1,0,3,0,0,0
College of Design and Eng,Architecture,AR5959B,Topics in Design Technology 2,E1,0,1,0,0,1,0,0,0
College of Design and Eng,Architecture,LAD1001,Design 1,L1,8,5,5,0,0,0,0,0
College of Design and Eng,Architecture,LAD1003,Introduction to Landscape Architecture,L1,15,5,5,0,0,0,0,0
College of Design and Eng,Architecture,LAD1003,Introduction to Landscape Architecture,L2,15,2,2,0,0,0,0,0
College of Design and Eng,Architecture,LAD2003,Landscape Construction I,L1,20,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD2006,Design 3,L1,16,6,6,0,0,0,0,0
College of Design and Eng,Architecture,LAD3006,Basics of Ecology,L1,20,7,7,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN3202,Musculoskeletal Biomechanics,L1,39,5,5,1,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4103,Assistive Technology for Persons with Disability,L1,15,8,8,1,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4301,Principles Of Tissue Engineering,L1,25,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4302,Organs in a Dish: Organoid Bioengineering,L1,12,20,12,0,8,0,0,0
College of Design and Eng,Biomedical Engineering,BN4403,Cellular Bioengineering,L1,59,3,3,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4501,Engineering Biology,L1,39,3,3,2,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4701,Serious Games for Health,L1,1,10,1,0,9,0,0,0
College of Design and Eng,Biomedical Engineering,BN5208,Biomedical Quality and Regulatory Systems,L1,5,20,5,0,15,0,0,0
College of Design and Eng,Biomedical Engineering,BN5210,BIOSENSORS AND BIOCHIPS,L1,12,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,GES1019,Managing Singapore's Built Environment,L1,45,30,30,2,0,0,0,0
College of Design and Eng,Built Environment,GESS1014,Managing Singapore's Built Environment,L1,100,30,30,6,0,0,0,0
College of Design and Eng,Built Environment,PF1101,Fundamentals of Project Management,L1,292,49,48,2,0,0,1,0
College of Design and Eng,Built Environment,PF1107,Infrastructure and Project Management Law,L1,26,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,PF2102,Structural Systems,L1,123,2,2,1,0,0,0,0
College of Design and Eng,Built Environment,PF2107,Construction Technology,L1,14,1,0,0,0,1,0,0
College of Design and Eng,Built Environment,PF2109,Project Feasibility,L1,35,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PF2205,Project Finance,L1,75,53,33,1,20,0,0,0
College of Design and Eng,Built Environment,PF3104,Project Execution,L1,45,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PF3105,Research Methods,L1,41,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PF3205,Advanced Measurement,L1,33,13,13,0,0,0,0,0
College of Design and Eng,Built Environment,PF3208,Project Leadership,L1,54,16,16,1,0,0,0,0
College of Design and Eng,Built Environment,PF3209,Building Information Modelling,L1,36,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PF3210,Total Building Performance,L1,101,23,23,3,0,0,0,0
College of Design and Eng,Built Environment,PF3211,AI Applications for the Built Environment,L1,29,15,15,0,0,0,0,0
College of Design and Eng,Built Environment,PF3307,Strategic Facilities Management,L1,46,10,10,0,0,0,0,0
College of Design and Eng,Built Environment,PF3504,Energy Management,L1,54,16,16,0,0,0,0,0
College of Design and Eng,Built Environment,PF4102,Contract and Procurement Management,L1,39,23,23,1,0,0,0,0
College of Design and Eng,Built Environment,PF4213,Building Energy Analysis and Simulation,L1,4,11,4,0,7,0,0,0
College of Design and Eng,Built Environment,PF4309,Infrastructure Operations and Maintenance,L1,58,17,17,1,0,0,0,0
College of Design and Eng,Built Environment,PF4502,Green Development,L1,9,3,1,0,2,0,0,0
College of Design and Eng,CDE Dean's Office,DEP5101,Urban Analysis Workshop,L1,2,7,2,0,5,0,0,0
College of Design and Eng,CDE Dean's Office,DEP5101A,Qualitative Methods for Urban Planning,L1,3,7,3,0,4,0,0,0
College of Design and Eng,CDE Dean's Office,DEP5104,Urban and Regional Economics,L1,4,7,4,0,3,0,0,0
College of Design and Eng,CDE Dean's Office,DEP5112,Planning Policy and Process,L1,1,7,1,0,6,0,0,0
College of Design and Eng,CDE Dean's Office,EG1311,Design and Make,L1,108,37,37,1,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L1,34,93,34,0,59,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L2,7,87,7,0,80,0,0,0
College of Design and Eng,CDE Dean's Office,EG2501,Liveable Cities,L01,74,3,3,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2604,Innovation Programme,L1,1,11,1,0,10,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2104,Chemical Engineering Thermodynamics,L1,57,2,2,0,0,0,0,0
