Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful_Main,Successful_Reserve,Quota_Exceeded,Timetable_Clashes,Workload_Exceeded,Others
College of Design and Eng,Built Environment,IPM1103,Digital Construction,L1,60,43,43,0,0,0,0,0
College of Design and Eng,Built Environment,IPM2103,Measurement (Building Works),L1,45,31,31,0,0,0,0,0
College of Design and Eng,Built Environment,IPM2104,Project Cost Management,L1,45,25,25,0,0,0,0,0
College of Design and Eng,Built Environment,PF1101,Fundamentals of Project Management,L1,768,736,718,0,18,0,0,0
College of Design and Eng,Built Environment,PF1103,Digital Construction,L1,30,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PF1108,Introduction to Building Performance,L1,30,7,7,0,0,0,0,0
College of Design and Eng,Built Environment,PF2103,Measurement (Building Works),L1,45,18,18,0,0,0,0,0
College of Design and Eng,Built Environment,PF2108,Project Cost Management,L1,45,19,19,0,0,0,0,0
College of Design and Eng,Built Environment,PF2110,Infrastructure and Facilities Management,L1,30,14,14,0,0,0,0,0
College of Design and Eng,Built Environment,PF2504,Materials Technology,L1,85,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF2505,M&E Systems,L1,115,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PF3201,Measurement (Specialist Works),L1,85,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PF3207,Project Management Law,L1,115,8,8,0,0,0,0,0
College of Design and Eng,Built Environment,PF3301,Maintainability of Facilities,L1,85,7,7,0,0,0,0,0
College of Design and Eng,Built Environment,PF3305,Facilities Planning and Design,L1,115,14,14,0,0,0,0,0
College of Design and Eng,Built Environment,PF3306,Facilities Management Law And Contracts,L1,110,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PF3502,Smart Facilities,L1,85,18,18,0,0,0,0,0
College of Design and Eng,Built Environment,PF4203,Project Dispute Management,L1,85,21,21,0,0,0,0,0
College of Design and Eng,Built Environment,PF4208,Safety and Health Management,L1,115,18,18,0,0,0,0,0
College of Design and Eng,Built Environment,PF4212,Advanced Building Information Modelling,L1,58,9,9,0,0,0,0,0
College of Design and Eng,Built Environment,PF4306,REITs Facilities Management,L1,85,9,9,0,0,0,0,0
College of Design and Eng,Built Environment,PF4502,Green Development,L1,24,33,20,0,13,0,0,0
College of Design and Eng,CDE Dean's Office,CDE2501,Liveable Cities,L01,248,3,3,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG1311,Design and Make,L1,77,2,2,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L1,200,28,28,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L2,150,26,26,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2103,Material and Energy Balances,L1,25,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2104,Chemical Engineering Thermodynamics,L1,25,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2105,Reaction Engineering,L1,205,140,116,0,0,0,0,24
College of Design and Eng,Chemical & Biomolecular Eng,CN2106,Fluid Mechanics and Heat Transfer,L1,205,138,138,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN3103,Mass Transfer and Separation Processes,L1,110,49,45,0,0,0,0,4
College of Design and Eng,Chemical & Biomolecular Eng,CN3104,Computer-Aided Chemical Process Simulation,L1,134,40,36,0,0,0,0,4
College of Design and Eng,Chemical & Biomolecular Eng,CN4101,Process Control and Safety,L1,25,17,17,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN4102,Chemical Engineering Lab,S1,40,43,40,0,3,0,0,0
