Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,-1,21,-1,-1,-1
College of Design and Eng,Architecture,AC5003,Urban Conservation and Regeneration,L1,-1,0,-1,-1,-1
College of Design and Eng,Architecture,AC5004,Architectural Heritage Management,L1,-1,3,-1,-1,-1
College of Design and Eng,Architecture,AC5005,Conservation Policy Methodology for Sustainable Development,L1,-1,6,-1,-1,-1
College of Design and Eng,Architecture,AC5008,Design for Conservation,L1,-1,8,-1,-1,-1
College of Design and Eng,Architecture,AC5010,Historic Buildings Survey and Recording,L1,-1,1,-1,-1,-1
College of Design and Eng,Architecture,AC5012,Practical Building Conservation Skills I,L1,-1,6,-1,-1,-1
College of Design and Eng,Architecture,AC5014,Internship,L1,-1,3,-1,-1,-1
College of Design and Eng,Architecture,AR1102,Design 2,D1,82,-1,-1,-1,-1
College of Design and Eng,Architecture,AR1329,"Climate, Ecology & Architecture",L1,28,-1,-1,-1,-1
College of Design and Eng,Architecture,AR2102,Design 4,D1,67,-1,-1,1,-1
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,6,-1,-1,3,-1
College of Design and Eng,Architecture,AR2227,History & Theory of Architecture I,L1,31,-1,-1,-1,-1
College of Design and Eng,Architecture,AR2524,Spatial Computational Thinking,L1,270,-1,-1,-1,-1
College of Design and Eng,Architecture,AR2524,Spatial Computational Thinking,L2,124,-1,-1,-1,-1
College of Design and Eng,Architecture,AR3102,Design 6,D1,29,-1,-1,0,-1
College of Design and Eng,Architecture,AR3151,Design - ISM,L1,20,-1,-1,-1,-1
College of Design and Eng,Architecture,AR3721,Building Environmental System Modelling,L1,61,-1,-1,1,-1
College of Design and Eng,Architecture,AR3722,Sustainable Environmental System,L1,8,-1,-1,-1,-1
College of Design and Eng,Architecture,AR5011,Research Methodology,L1,-1,18,-1,-1,-1
College of Design and Eng,Architecture,AR5011,Research Methodology,L2,-1,18,-1,-1,-1
College of Design and Eng,Architecture,AR5011,Research Methodology,L3,-1,18,-1,-1,-1
College of Design and Eng,Architecture,AR5011,Research Methodology,L4,-1,18,-1,-1,-1
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,23,10,-1,0,-1
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,25,45,-1,-1,-1
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,20,45,-1,-1,-1
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,33,7,-1,-1,-1
College of Design and Eng,Architecture,AR5802,Options Design Research Studio 2,D1,18,8,-1,0,-1
College of Design and Eng,Architecture,AR5804,Architectural & Technology Design 2,D1,-1,120,-1,-1,-1
College of Design and Eng,Architecture,AR5804,Architectural & Technology Design 2,DT1,-1,15,-1,-1,-1
College of Design and Eng,Architecture,AR5807,Architectural Design Thesis,D1,-1,150,-1,-1,-1
College of Design and Eng,Architecture,AR5954,Topics in Landscape Architecture,E1,-1,30,-1,-1,-1
College of Design and Eng,Architecture,AR5954C,Topics in Landscape Architecture,L1,-1,25,-1,-1,-1
College of Design and Eng,Architecture,AR5955B,Topics in Research by Design 2,L1,2,3,-1,-1,-1
College of Design and Eng,Architecture,AR5955C,Topics in Research by Design 3,L1,0,15,-1,-1,-1
College of Design and Eng,Architecture,AR5955D,Topics in Research by Design 4,L1,1,11,-1,-1,-1
College of Design and Eng,Architecture,AR5955E,Topics in Research by Design 5,L1,1,12,-1,-1,-1
College of Design and Eng,Architecture,AR5957I,Topics in History and Theory of Architecture 9,L1,2,8,-1,-1,-1
College of Design and Eng,Architecture,AR5957K,Topics in History and Theory of Architecture 11,L1,-1,20,-1,-1,-1
College of Design and Eng,Architecture,AR5958G,Topics in Urbanism 7,L1,2,4,-1,-1,-1
College of Design and Eng,Architecture,AR5958H,Topics in Urbanism 8,L1,0,13,-1,-1,-1
College of Design and Eng,Architecture,AR5958I,Topics in Urbanism 9,L1,2,10,-1,-1,-1
College of Design and Eng,Architecture,AR5958J,Topics in Urbanism 10,L1,3,15,-1,-1,-1
College of Design and Eng,Architecture,AR5958K,Topics in Urbanism 11,L1,3,12,-1,-1,-1
College of Design and Eng,Architecture,AR5958L,Topics in Urbanism 12,L1,-1,23,-1,-1,-1
College of Design and Eng,Architecture,AR5959,Topics in Design Technology,E1,-1,30,-1,-1,-1
College of Design and Eng,Architecture,AR5959E,Topics in Design Technology 5,E1,0,15,-1,-1,-1
College of Design and Eng,Architecture,AR5959F,Topics in Design Technology 6,L1,0,22,-1,-1,-1
College of Design and Eng,Architecture,CDE2212,AI for Design,L1,53,-1,-1,-1,-1
College of Design and Eng,Architecture,DEP5109,Integrated Planning Project,L1,-1,39,-1,-1,-1
College of Design and Eng,Architecture,DEP5110,Urban Design and Planning,L1,-1,25,-1,-1,-1
College of Design and Eng,Architecture,DEP5111,Planning Technologies,L1,-1,15,-1,-1,-1
College of Design and Eng,Architecture,DEP5116,Urbanization in China and Emergent Issues,E1,-1,35,-1,-1,-1
College of Design and Eng,Architecture,LA4202,Planting Design,L1,28,-1,-1,-1,-1
College of Design and Eng,Architecture,LA4203,History and Theory of Landscape Architecture,L1,30,-1,-1,-1,-1
College of Design and Eng,Architecture,LA4702,MLA Studio: City,D1,-1,49,-1,-1,-1
College of Design and Eng,Architecture,LA5201,Policy of Landscape,L1,-1,59,-1,-1,-1
College of Design and Eng,Architecture,LA5302,Landscape Construction II,L1,-1,69,-1,-1,-1
College of Design and Eng,Architecture,LA5303,Urban Greening: Technologies and Techniques,L1,-1,35,-1,-1,-1
College of Design and Eng,Architecture,LA5702,MLA Studio: Region,D1,-1,73,-1,-1,-1
College of Design and Eng,Architecture,LA5742,Dissertation,L1,-1,48,-1,-1,-1
College of Design and Eng,Architecture,LA5901,Special Topics in Landscape Architecture,L1,30,30,-1,-1,-1
College of Design and Eng,Architecture,LAD1002,Design 2,L1,30,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD1004,History and Theory of Landscape Architecture,L1,3,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD1005,Design 2,L1,16,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD2002,Design 4,L1,30,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD2004,Planting Design and Horticulture,L1,32,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD2007,Design 4,LD1,7,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD3002,Design 6,LD1,16,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD4002,Design 8,LD1,60,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD4003,Landscape Construction II,L1,60,-1,-1,-1,-1
College of Design and Eng,Architecture,LAD4012,Urban Greening: Technologies and Techniques,L1,60,-1,-1,-1,-1
College of Design and Eng,Architecture,UD5602,URBAN STUDIO DESIGN 2,D1,-1,11,-1,-1,-1
College of Design and Eng,Architecture,UD5602,URBAN STUDIO DESIGN 2,D2,-1,40,-1,-1,-1
College of Design and Eng,Architecture,UD5628,Critique of Contemporary Urban Design,L1,-1,12,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN3301,Introduction To Biomaterials,L1,50,-1,-1,5,-1
