Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful_Main,Successful_Reserve,Quota_Exceeded,Timetable_Clashes,Workload_Exceeded,Others
Coll. of Humanities & Sciences,"English,Ling.&Theatre Studies",HS2912,Polymaths: Innovating Between Art and Science,L1,0,20,0,0,20,0,0,0
College of Design and Eng,Architecture,AR1101,Design I,D1,73,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR2101,Design 3,D1,47,18,18,0,0,0,0,0
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,2,4,4,1,0,0,0,0
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,35,12,12,0,0,0,0,0
College of Design and Eng,Architecture,AR2328,Architectural Tectonics and Structural Systems,L1,50,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR3101,Design 5,D1,70,24,24,0,0,0,0,0
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,43,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,101,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,52,6,6,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,71,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5801,Options Design Research Studio 1,D1,61,6,6,0,0,0,0,0
College of Design and Eng,Architecture,AR5951A,Topics in History and Theory of Architecture 1,L1,1,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5951C,Topics in History and Theory of Architecture 3,L1,0,1,0,0,1,0,0,0
College of Design and Eng,Architecture,AR5951D,Topics in History & Theory of Architecture 4,E1,0,2,0,0,1,0,0,1
College of Design and Eng,Architecture,AR5952A,Topics in Urbanism 1,L1,0,2,0,0,2,0,0,0
College of Design and Eng,Architecture,AR5952G,Topics in Urbanism 7,L1,3,1,1,1,0,0,0,0
College of Design and Eng,Architecture,AR5953B,Topics in Design Technology 2,L1,0,8,0,0,8,0,0,0
College of Design and Eng,Architecture,AR5953C,Topics in Design Technology 3,L1,0,3,0,0,3,0,0,0
College of Design and Eng,Architecture,AR5953D,Topics in Design Technology 4,E1,0,1,0,0,1,0,0,0
College of Design and Eng,Architecture,AR5955F,Topics in Research by Design 6,L1,0,3,3,0,0,0,0,0
College of Design and Eng,Architecture,DEP5104,Urban and Regional Economics,L1,0,2,0,0,0,0,0,2
College of Design and Eng,Architecture,LA5222,Urban Ecology and Design,L1,21,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD2004,Planting Design and Horticulture,L1,2,3,0,0,0,0,0,3
College of Design and Eng,Architecture,LAD2006,Design 3,L1,4,2,2,0,0,0,0,0
College of Design and Eng,Architecture,LAD3001,Design 5,L1,5,2,0,0,0,0,0,2
College of Design and Eng,Architecture,LAD3006,Basics of Ecology,L1,15,3,3,0,0,0,0,0
College of Design and Eng,Architecture,LAD4007,Political Eco and Land,L1,28,2,2,0,0,0,0,0
