Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
Coll. of Humanities & Sciences,Communications & New Media,HS2903,Sporting Bodies,L1,22,-1,-1,-1,-1
College of Design and Eng,Architecture,AC5001,Architectural History of Singapore,L1,1,12,-1,-1,-1
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,0,7,-1,-1,-1
College of Design and Eng,Architecture,AC5006,Disaster Risk Management of Cultural Heritage,L1,0,3,-1,-1,-1
College of Design and Eng,Architecture,AC5007,Dissertation,L1,-1,24,-1,-1,-1
College of Design and Eng,Architecture,AC5009,Design for Adaptive Reuse,L1,-1,8,-1,-1,-1
College of Design and Eng,Architecture,AC5011,Conservation of C20th Buildings,L1,-1,0,-1,-1,-1
College of Design and Eng,Architecture,AC5013,Practical Building Conservation Skills II,L1,-1,19,-1,-1,-1
College of Design and Eng,Architecture,AC5014,Internship,L1,-1,13,-1,-1,-1
College of Design and Eng,Architecture,AR1101,Design I,D1,64,-1,-1,-1,-1
College of Design and Eng,Architecture,AR2101,Design 3,D1,12,-1,-1,-1,-1
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,0,-1,-1,2,-1
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,13,-1,-1,5,-1
College of Design and Eng,Architecture,AR2328,Architectural Construction & Tectonics,L1,9,-1,-1,-1,-1
College of Design and Eng,Architecture,AR3101,Design 5,D1,53,-1,-1,5,-1
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,36,-1,-1,4,-1
College of Design and Eng,Architecture,AR4955,Topics in Architectural Design,E1,10,-1,-1,-1,-1
College of Design and Eng,Architecture,AR5011,Research Methodology,L1,-1,15,-1,-1,-1
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L1,-1,150,-1,-1,-1
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L10,-1,5,-1,-1,-1
