Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
Coll. of Humanities & Sciences,Biological Sciences,HSI2005,Our Science Stories and You,L1,100,x,x,x,x
Coll. of Humanities & Sciences,CHS Program Office,HS2903,Sporting Bodies,L1,125,x,x,x,x
Coll. of Humanities & Sciences,Chemistry,HS2904,Driving Towards the Future: Battery Electric Vehicles,L1,100,x,x,x,x
Coll. of Humanities & Sciences,FASS DO/Office of Programmes,HSH1000,The Human Condition,L1,1179,x,x,x,x
Coll. of Humanities & Sciences,FASS DO/Office of Programmes,HSS1000,Understanding Social Complexity,L1,1214,x,x,x,x
Coll. of Humanities & Sciences,FoS Dean's Office,HSI1000,"How Science Works, Why Science Works",L1,1323,x,x,x,x
Coll. of Humanities & Sciences,Food Science & Technology,HSI2007,Deconstructing Food,L1,200,x,x,x,x
Coll. of Humanities & Sciences,Mathematics,HS1501,Artificial Intelligence and Society,L1,450,x,x,x,x
Coll. of Humanities & Sciences,Physics,HSI2010,New Worlds Beyond Earth,L1,197,x,x,3,x
Coll. of Humanities & Sciences,Physics,HSI2013,The Science of Music,L1,197,x,x,3,x
Coll. of Humanities & Sciences,Physics,HSI2014,"Science, Medical Technology and Society",L1,193,x,x,7,x
Coll. of Humanities & Sciences,Risk Management Institute,HS2301,Financial Numeracy,E1,50,x,x,x,x
Coll. of Humanities & Sciences,South Asian Studies,HSA1000,Asian Interconnections,L1,1206,x,x,x,x
College of Design and Eng,Architecture,AC5001,Architectural History of Singapore,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5006,Disaster Risk Management of Cultural Heritage,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5007,Dissertation,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5009,Design for Adaptive Reuse,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5011,Conservation of C20th Buildings,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5014,Internship,L1,x,18,x,x,x
College of Design and Eng,Architecture,AR1101,Design I,D1,150,x,x,x,x
College of Design and Eng,Architecture,AR2101,Design 3,D1,165,x,x,x,x
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,17,x,x,13,x
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,150,x,x,x,x
College of Design and Eng,Architecture,AR2328,Architectural Construction & Tectonics,L1,150,x,x,x,x
College of Design and Eng,Architecture,AR2522,Computational Thinking: Performance Based Design,L1,150,x,x,x,x
College of Design and Eng,Architecture,AR3101,Design 5,D1,145,x,x,15,x
College of Design and Eng,Architecture,AR3101A,Design 5 (Landscape Architecture Emphasis),DT1,20,x,x,x,x
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,155,x,x,15,x
College of Design and Eng,Architecture,AR3411,Architecture Internship Programme,L1,35,x,x,x,x
College of Design and Eng,Architecture,AR3721,Building Environmental System Modelling,L2,105,x,x,x,x
College of Design and Eng,Architecture,AR4955,Topics in Architectural Design,E1,10,x,x,x,x
