Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
Coll. of Humanities & Sciences,Biochemistry,HSI2003,From DNA to Gene Therapy,L1,120,-1,-1,-1,-1
Coll. of Humanities & Sciences,Biological Sciences,HSI2004,Cell Based Proteins for a Sustainable Future,L1,200,-1,-1,-1,-1
Coll. of Humanities & Sciences,FoS Dean's Office,HSI1000,"How Science Works, Why Science Works",L1,304,-1,-1,-1,-1
Coll. of Humanities & Sciences,Mathematics,HS1501,Artificial Intelligence and Society,L1,50,-1,-1,-1,-1
Coll. of Humanities & Sciences,Pharmacy,HSI2001,"Scientific Inquiry & Health: Good Science, Bad Science",L1,200,-1,-1,-1,-1
Coll. of Humanities & Sciences,Physics,HSI2008,A Brief History of Science & Why Things Often Go Wrong,L1,50,-1,-1,-1,-1
Coll. of Humanities & Sciences,Physics,HSI2009,What is a Planet?,L1,120,-1,-1,-1,-1
Coll. of Humanities & Sciences,South Asian Studies,HSA1000,Asian Interconnections,L1,329,-1,-1,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS1000,The Duke-NUS Premed Course,E1,58,-1,-1,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS5121,Advanced Topics in Regulatory Policy,L1,-1,-1,60,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS5801,Translational Medicine: From Unmet Need to Cure,L1,-1,-1,40,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6802,Analysis of Complex Biomedical Data,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6803,Design and Analysis of Modern Clinical Studies,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6812,Foundations of Precision Medicine,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6850,Core Concepts in Bioinformatics,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L1,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L2,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L3,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L4,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L5,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6904,Principles of Infectious Diseases,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6921,Cardiovascular Molecular Biology,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6951,Dynamic Modelling of Healthcare Services and Systems,L1,-1,-1,60,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L1,22,-1,-1,1,2
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L2,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L3,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L4,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L5,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L6,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L7,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L8,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L9,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L3,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L4,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB3201,Bahasa Indonesia 3,L1,24,-1,-1,-1,1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB3201,Bahasa Indonesia 3,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB3202,Bahasa Indonesia 4,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB4201,Bahasa Indonesia 5,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB4202,Bahasa Indonesia 6,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L1,15,-1,-1,7,3
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L2,18,-1,-1,7,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L3,19,-1,-1,6,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L4,18,-1,-1,7,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L5,23,-1,-1,2,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L6,18,-1,-1,7,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L7,18,-1,-1,7,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC2201,Chinese 2,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC2201,Chinese 2,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC2201,Chinese 2,L3,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC3201,Chinese 3,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC3201,Chinese 3,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC3202,Chinese 4,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC3202,Chinese 4,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC3204,Chinese for Business & Social Sciences,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC4202,Chinese 6,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L1,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L2,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L3,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L4,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L5,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L6,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L7,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L8,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF1201,French 1,L9,19,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L2,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L3,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L4,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L5,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L6,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF2201,French 2,L7,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF3201,French 3,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF3201,French 3,L2,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF3202,French 4,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF3202,French 4,L2,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF3202,French 4,L3,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF4201,French 5,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF4202,French 6,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAF4204,Francophone Studies in Context,L1,20,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L1,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L2,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L3,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L4,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L5,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L6,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG1201,German 1,L7,17,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG2201,German 2,L1,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG2201,German 2,L2,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG2201,German 2,L3,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG2201,German 2,L6,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG2201,German 2,L7,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG3201,German 3,L1,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG3202,German 4,L1,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG3202,German 4,L3,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG3202,German 4,L4,18,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG4202,German 6,L1,15,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAG4202,German 6,L2,15,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAH1201,Hindi 1,L1,20,-1,-1,2,3
Faculty of Arts & Social Sci,Centre for Language Studies,LAH1201,Hindi 1,L2,23,-1,-1,2,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAH2201,Hindi 2,L1,22,-1,-1,-1,3
Faculty of Arts & Social Sci,Centre for Language Studies,LAH3201,Hindi 3,L1,25,-1,-1,-1,-1
