Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
CollegeofHumanities&S ciences,FoS Dean's Office,HSI1000,"How Science Works, Why Science Works",L1,1200,-1,-1,-1,-1
CollegeofHumanities&S ciences,Mathematics,HS1501,Artificial Intelligence and Society,L1,50,-1,-1,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS1000,The Duke-NUS Premed Course,E1,2147483647,-1,-1,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS5104,Biotherapeutics and Biosimilars,L1,-1,-1,80,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS5113,Post-market Surveillance and Enforcement,L1,-1,-1,70,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6801,Study Designs in Clinical and Population Health Research,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6812,Foundations of Precision Medicine,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6820,Core Concepts in Biostatistics,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6821,R-Programming,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L1,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L2,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L3,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L4,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6895,Thesis Research (Clinical and Translational Sciences),L5,-1,-1,10,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6920,Metabolic Basis of Disease,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6921,Cardiovascular Molecular Biology,L1,-1,-1,30,-1,-1
Duke-NUS Medical School,Duke-NUS Dean's Office,GMS6961,Introduction to Global Health,L1,-1,-1,30,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L1,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L2,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L3,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L4,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L5,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L6,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L7,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L8,24,-1,-1,1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB1201,Bahasa Indonesia 1,L9,22,-1,-1,1,2
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L3,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB2201,Bahasa Indonesia 2,L4,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB3201,Bahasa Indonesia 3,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB3201,Bahasa Indonesia 3,L2,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB3202,Bahasa Indonesia 4,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAB4201,Bahasa Indonesia 5,L1,25,-1,-1,-1,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L1,17,-1,-1,3,-1
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L10,11,-1,-1,4,5
Faculty of Arts & Social Sci,Centre for Language Studies,LAC1201,Chinese 1,L2,17,-1,-1,3,-1
