Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Faculty of Arts & Social Sci,Chinese Studies,CH4207,History of Chinese Language,E1,1,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5210,CHINESE LEXICAL SEMANTICS,S1,2147483647,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5211,Seminar in Chinese Pragmatics,S1,2147483647,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5224,PRESCRIBED TEXTS IN LITERATURE,L1,2147483647,4,4,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5243,Contemporary China-Southeast Asia Relations,E1,13,14,13,0,1,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5245,Seminar in Early Taoism,E1,2147483647,6,6,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH6241,TOPICS IN CHINESE HISTORY,S1,2147483647,7,7,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L1,6,5,5,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L3,3,5,3,0,2,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5101,Contemporary Research in Chinese Studies,L4,2,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5301,History and Civilizations of the Tang Empire,L1,1,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5301,History and Civilizations of the Tang Empire,L2,13,18,13,0,5,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5304,Society and Culture of the Ming Dynasty,L1,2,9,2,0,7,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5315,Neo‐Taoism,E1,6,17,6,0,11,0,0,0
