Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
College of Design and Eng,Architecture,AR1102,Design 2,D1,88,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR1329,"Climate, Ecology & Architecture",L1,46,18,18,0,0,0,0,0
College of Design and Eng,Architecture,AR2102,Design 4,D1,80,13,13,0,0,0,0,0
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,10,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR2227,History & Theory of Architecture I,L1,41,10,10,0,0,0,0,0
College of Design and Eng,Architecture,AR2524,Spatial Computational Thinking,L1,282,11,11,0,0,0,0,0
College of Design and Eng,Architecture,AR2524,Spatial Computational Thinking,L2,128,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR3102,Design 6,D1,44,15,15,0,0,0,0,0
College of Design and Eng,Architecture,AR3721,Building Environmental System Modelling,L1,80,19,19,0,0,0,0,0
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,32,9,9,0,0,0,0,0
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,29,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,35,15,15,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,41,8,8,0,0,0,0,0
College of Design and Eng,Architecture,AR5802,Options Design Research Studio 2,D1,31,13,13,0,0,0,0,0
College of Design and Eng,Architecture,AR5955C,Topics in Research by Design 3,L1,3,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5955D,Topics in Research by Design 4,L1,2,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5955E,Topics in Research by Design 5,L1,2,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5958H,Topics in Urbanism 8,L1,2,2,2,0,0,0,0,0
College of Design and Eng,Architecture,AR5958K,Topics in Urbanism 11,L1,5,3,3,1,0,0,0,0
College of Design and Eng,Architecture,AR5959E,Topics in Design Technology 5,E1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,AR5959F,Topics in Design Technology 6,L1,3,5,3,0,2,0,0,0
College of Design and Eng,Architecture,LA4202,Planting Design,L1,30,2,2,0,0,0,0,0
College of Design and Eng,Architecture,LAD3002,Design 6,LD1,18,2,2,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN3301,Introduction To Biomaterials,L1,51,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN3402,Bio-Analytics for Engineers,L1,15,10,10,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4102,Gerontechnology in Ageing,L1,9,4,4,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4203,Robotics in Rehabilitation,L1,14,13,13,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4303,Tissue Engineering for Designing Food,L1,20,5,5,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4404,Bioelectromechanical Systems - Biomems,L1,40,3,3,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4406,Biophotonics And Bioimaging,L1,46,4,4,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN5201,Advanced Biomaterials,L1,3,3,3,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN5207,MEDICAL IMAGING SYSTEMS,L1,1,3,1,0,2,0,0,0
College of Design and Eng,Biomedical Engineering,BN5209,FRONTIERS IN NEUROTECHNOLOGY,L1,1,4,1,0,3,0,0,0
College of Design and Eng,Built Environment,IPM2103,Measurement (Building Works),L1,3,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PF1101,Fundamentals of Project Management,L1,147,33,33,0,0,0,0,0
College of Design and Eng,Built Environment,PF1103,Digital Construction,L1,21,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF1108,Introduction to Building Performance,L1,18,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF2103,Measurement (Building Works),L1,28,23,23,0,0,0,0,0
College of Design and Eng,Built Environment,PF2108,Project Cost Management,L1,38,6,6,0,0,0,0,0
College of Design and Eng,Built Environment,PF2110,Infrastructure and Facilities Management,L1,71,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PF2203,Quality and Productivity Management,L1,56,25,25,0,0,0,0,0
College of Design and Eng,Built Environment,PF2504,Materials Technology,L1,78,19,19,0,0,0,0,0
College of Design and Eng,Built Environment,PF2505,M&E Systems,L1,115,12,12,1,0,0,0,0
College of Design and Eng,Built Environment,PF3201,Measurement (Specialist Works),L1,53,8,8,0,0,0,0,0
College of Design and Eng,Built Environment,PF3207,Project Management Law,L1,91,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PF3301,Maintainability of Facilities,L1,52,8,8,0,0,0,0,0
College of Design and Eng,Built Environment,PF3305,Facilities Planning and Design,L1,93,14,14,1,0,0,0,0
College of Design and Eng,Built Environment,PF3306,Facilities Management Law And Contracts,L1,93,5,5,0,0,0,0,0
