Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
College of Design and Eng,Architecture,AC5004,Architectural Heritage Management,L1,0,1,0,0,0,0,0,1
College of Design and Eng,Architecture,AR1102,Design 2,D1,82,26,26,0,0,0,0,0
College of Design and Eng,Architecture,AR1329,"Climate, Ecology & Architecture",L1,30,14,14,0,0,0,0,0
College of Design and Eng,Architecture,AR2102,Design 4,D1,68,42,42,0,0,0,0,0
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,8,4,4,1,0,0,0,0
College of Design and Eng,Architecture,AR2227,History & Theory of Architecture I,L1,30,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AR2524,Spatial Computational Thinking,L1,270,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR2524,Spatial Computational Thinking,L2,124,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR3102,Design 6,D1,29,29,29,0,0,0,0,0
College of Design and Eng,Architecture,AR3721,Building Environmental System Modelling,L1,61,8,8,0,0,0,0,0
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,23,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,20,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,33,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5802,Options Design Research Studio 2,D1,19,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AR5955C,Topics in Research by Design 3,L1,0,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5955D,Topics in Research by Design 4,L1,2,5,5,0,0,0,0,0
College of Design and Eng,Architecture,AR5955E,Topics in Research by Design 5,L1,4,8,8,0,0,0,0,0
College of Design and Eng,Architecture,AR5957I,Topics in History and Theory of Architecture 9,L1,3,8,8,0,0,0,0,0
College of Design and Eng,Architecture,AR5958G,Topics in Urbanism 7,L1,2,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5958J,Topics in Urbanism 10,L1,3,10,10,0,0,0,0,0
College of Design and Eng,Architecture,AR5958K,Topics in Urbanism 11,L1,5,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AR5959E,Topics in Design Technology 5,E1,0,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5959F,Topics in Design Technology 6,L1,1,1,1,0,0,0,0,0
College of Design and Eng,Architecture,DEP5110,Urban Design and Planning,L1,0,7,0,0,0,0,0,7
College of Design and Eng,Architecture,DEP5111,Planning Technologies,L1,0,8,0,0,0,0,0,8
College of Design and Eng,Architecture,LA4202,Planting Design,L1,28,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD1004,History and Theory of Landscape Architecture,L1,3,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD3002,Design 6,LD1,18,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN3301,Introduction To Biomaterials,L1,50,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN3402,Bio-Analytics for Engineers,L1,6,4,4,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4102,Gerontechnology in Ageing,L1,9,4,4,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4203,Robotics in Rehabilitation,L1,1,4,3,0,1,0,0,0
College of Design and Eng,Biomedical Engineering,BN4303,Tissue Engineering for Designing Food,L1,18,6,6,1,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4404,Bioelectromechanical Systems - Biomems,L1,39,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4406,Biophotonics And Bioimaging,L1,43,1,1,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN5202,Orthopaedic Biomechanics,L1,0,1,0,0,0,0,0,1
College of Design and Eng,Biomedical Engineering,BN5203,ADVANCED TISSUE ENGINEERING,L1,1,4,4,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN5207,MEDICAL IMAGING SYSTEMS,L1,0,2,2,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN5209,FRONTIERS IN NEUROTECHNOLOGY,L1,3,7,3,0,4,0,0,0
College of Design and Eng,Built Environment,IPM1103,Digital Construction,L1,5,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,IPM2104,Project Cost Management,L1,7,7,7,0,0,0,0,0
College of Design and Eng,Built Environment,PF1101,Fundamentals of Project Management,L1,116,33,32,4,0,0,0,1
College of Design and Eng,Built Environment,PF1103,Digital Construction,L1,20,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF1108,Introduction to Building Performance,L1,16,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF2103,Measurement (Building Works),L1,5,11,5,0,6,0,0,0
College of Design and Eng,Built Environment,PF2108,Project Cost Management,L1,32,4,4,2,0,0,0,0
College of Design and Eng,Built Environment,PF2110,Infrastructure and Facilities Management,L1,68,9,9,0,0,0,0,0
College of Design and Eng,Built Environment,PF2203,Quality and Productivity Management,L1,29,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF2504,Materials Technology,L1,60,10,10,1,0,0,0,0
College of Design and Eng,Built Environment,PF2505,M&E Systems,L1,102,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PF3201,Measurement (Specialist Works),L1,45,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,PF3207,Project Management Law,L1,81,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,PF3301,Maintainability of Facilities,L1,44,2,2,1,0,0,0,0
College of Design and Eng,Built Environment,PF3305,Facilities Planning and Design,L1,79,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF3306,Facilities Management Law And Contracts,L1,88,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF3502,Smart Facilities,L1,21,3,3,2,0,0,0,0
College of Design and Eng,Built Environment,PF4203,Project Dispute Management,L1,2,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,PF4208,Safety and Health Management,L1,60,3,3,1,0,0,0,0
College of Design and Eng,Built Environment,PF4306,REITs Facilities Management,L1,53,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF4502,Green Development,L1,9,43,13,0,30,0,0,0
College of Design and Eng,CDE Dean's Office,CDE2502,Cities for All,L01,79,8,8,2,0,0,0,0
College of Design and Eng,CDE Dean's Office,CDE2503,Cities in Nature,L01,92,6,6,1,0,0,0,0
College of Design and Eng,CDE Dean's Office,DEP5102,Urban Planning History & Theory,L1,0,9,0,0,0,0,0,9
College of Design and Eng,CDE Dean's Office,DEP5113,Quantitative Methods for Urban Planning,L1,0,10,0,0,0,0,0,10
College of Design and Eng,CDE Dean's Office,EG1311,Design and Make,L1,215,42,42,6,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L1,242,53,53,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L2,107,87,87,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2501,Liveable Cities,L01,354,101,101,7,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG2604,Innovation Programme,L1,2147483647,17,1,0,16,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2103,Mass and Energy Balance,L1,22,1,1,0,0,0,0,0
